|Player|venue|final_score_bat|final_score_ball|player_score
67|A Mithun|Himachal Pradesh Cricket Association Stadium|2.298|2.4615|4.7595
68|A Mithun|JSCA International Stadium Complex|1.698|4.3365|6.0344999999999995
69|A Mithun|M Chinnaswamy Stadium|1.998|3.26775|5.26575
70|A Mithun|MA Chidambaram Stadium, Chepauk|2.3729999999999998|2.4615|4.8345
71|A Mithun|Nehru Stadium|0.0|2.4615|2.4615
72|A Mithun|St George's Park|0.0|2.4615|2.4615
73|A Mithun|Wankhede Stadium|0.0|4.3365|4.3365
74|A Nehra|Barabati Stadium|0.0|8.732999999999999|8.732999999999999
75|A Nehra|Brabourne Stadium|0.0|9.670499999999999|9.670499999999999
76|A Nehra|Buffalo Park|0.0|10.607999999999999|10.607999999999999
77|A Nehra|Dr DY Patil Sports Academy|0.0|10.607999999999999|10.607999999999999
78|A Nehra|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|0.0|14.357999999999999|14.357999999999999
79|A Nehra|Eden Gardens|-0.2595|7.983|7.7235
80|A Nehra|Feroz Shah Kotla|0.5655|8.732999999999999|9.298499999999999
81|A Nehra|Himachal Pradesh Cricket Association Stadium|0.0|10.607999999999999|10.607999999999999
82|A Nehra|JSCA International Stadium Complex|0.0|12.482999999999999|12.482999999999999
83|A Nehra|Kingsmead|0.0|9.35175|9.35175
84|A Nehra|M Chinnaswamy Stadium|-0.297|9.98925|9.69225
85|A Nehra|MA Chidambaram Stadium, Chepauk|-0.27225|10.10175|9.8295
86|A Nehra|New Wanderers Stadium|0.0|10.607999999999999|10.607999999999999
87|A Nehra|OUTsurance Oval|-0.222|8.732999999999999|8.511
88|A Nehra|Punjab Cricket Association IS Bindra Stadium, Mohali|0.0|9.670499999999999|9.670499999999999
89|A Nehra|Punjab Cricket Association Stadium, Mohali|-0.147|8.732999999999999|8.585999999999999
90|A Nehra|Rajiv Gandhi International Stadium, Uppal|-0.2595|8.732999999999999|8.4735
91|A Nehra|Sardar Patel Stadium, Motera|0.0|6.858|6.858
92|A Nehra|Sawai Mansingh Stadium|0.378|10.607999999999999|10.985999999999999
93|A Nehra|Shaheed Veer Narayan Singh International Stadium|0.0|7.7955|7.7955
94|A Nehra|Sheikh Zayed Stadium|0.0|8.732999999999999|8.732999999999999
95|A Nehra|St George's Park|0.0|12.482999999999999|12.482999999999999
96|A Nehra|Subrata Roy Sahara Stadium|0.0|8.18925|8.18925
97|A Nehra|SuperSport Park|0.0|9.98925|9.98925
98|A Nehra|Wankhede Stadium|-0.27225|9.1455|8.87325
99|A Nel|Feroz Shah Kotla|0.0|6.825|6.825
100|A Singh|De Beers Diamond Oval|0.0|8.9175|8.9175
101|A Singh|Eden Gardens|-0.8549999999999999|8.9175|8.0625
102|A Singh|Feroz Shah Kotla|0.0|10.7925|10.7925
103|A Singh|Kingsmead|-0.7799999999999999|10.7925|10.012500000000001
104|A Singh|M Chinnaswamy Stadium|0.0|10.7925|10.7925
105|A Singh|MA Chidambaram Stadium, Chepauk|0.0|7.0425|7.0425
106|A Singh|OUTsurance Oval|-0.8549999999999999|7.0425|6.187500000000001
107|A Singh|Rajiv Gandhi International Stadium, Uppal|0.0|12.6675|12.6675
108|A Singh|Sawai Mansingh Stadium|-0.7799999999999999|8.9175|8.137500000000001
109|A Singh|SuperSport Park|0.0|14.5425|14.5425
110|A Singh|Wankhede Stadium|-0.8549999999999999|9.855|9.0
111|A Symonds|Barabati Stadium|10.968|7.50075|18.46875
112|A Symonds|Brabourne Stadium|9.242999999999999|3.75075|12.993749999999999
113|A Symonds|De Beers Diamond Oval|11.043000000000001|3.75075|14.793750000000001
114|A Symonds|Dr DY Patil Sports Academy|8.177999999999999|4.12575|12.303749999999999
115|A Symonds|Eden Gardens|10.5555|5.62575|16.18125
116|A Symonds|Feroz Shah Kotla|11.718|3.75075|15.46875
117|A Symonds|Himachal Pradesh Cricket Association Stadium|7.967999999999999|3.75075|11.71875
118|A Symonds|Kingsmead|10.743|5.62575|16.36875
119|A Symonds|M Chinnaswamy Stadium|11.643|5.62575|17.26875
120|A Symonds|MA Chidambaram Stadium, Chepauk|11.418000000000001|7.50075|18.918750000000003
121|A Symonds|New Wanderers Stadium|9.567749999999998|7.50075|17.0685
122|A Symonds|Rajiv Gandhi International Stadium, Uppal|11.99325|3.75075|15.744
123|A Symonds|Sardar Patel Stadium, Motera|9.318|5.62575|14.94375
124|A Symonds|SuperSport Park|9.242999999999999|5.62575|14.868749999999999
125|A Symonds|Vidarbha Cricket Association Stadium, Jamtha|9.192749999999998|5.007000000000001|14.199749999999998
126|A Symonds|Wankhede Stadium|8.613|4.68825|13.30125
127|A Uniyal|Brabourne Stadium|-0.44999999999999996|10.575|10.125
128|A Uniyal|Sardar Patel Stadium, Motera|-0.15|4.95|4.8
129|A Zampa|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|-0.22499999999999998|16.28775|16.062749999999998
130|A Zampa|Dubai International Cricket Stadium|0.0|27.811|27.811
131|A Zampa|Eden Gardens|0.0|10.044|10.044
132|A Zampa|Feroz Shah Kotla|0.0|11.919|11.919
133|A Zampa|M Chinnaswamy Stadium|0.0|13.794|13.794
134|A Zampa|Maharashtra Cricket Association Stadium|0.15|12.53775|12.687750000000001
135|A Zampa|Rajiv Gandhi International Stadium, Uppal|0.0|13.794|13.794
136|A Zampa|Sheikh Zayed Stadium|0.0|25.6235|25.6235
137|A Zampa|Wankhede Stadium|0.0|10.044|10.044
138|AA Chavan|Eden Gardens|0.0|4.398|4.398
139|AA Chavan|Feroz Shah Kotla|0.0|5.3355|5.3355
140|AA Chavan|Holkar Cricket Stadium|1.12575|3.4605|4.58625
141|AA Chavan|Punjab Cricket Association Stadium, Mohali|0.0|3.4605|3.4605
142|AA Chavan|Sawai Mansingh Stadium|1.5757499999999998|5.80425|7.379999999999999
143|AA Chavan|Subrata Roy Sahara Stadium|0.0|3.4605|3.4605
144|AA Chavan|Wankhede Stadium|1.35075|4.07925|5.43
145|AA Jhunjhunwala|Brabourne Stadium|4.663499999999999|0.5625|5.225999999999999
146|AA Jhunjhunwala|Dr DY Patil Sports Academy|4.363499999999999|0.5625|4.925999999999999
147|AA Jhunjhunwala|MA Chidambaram Stadium, Chepauk|3.913499999999999|1.5|5.413499999999999
148|AA Jhunjhunwala|Punjab Cricket Association Stadium, Mohali|3.6134999999999993|0.5625|4.175999999999999
149|AA Jhunjhunwala|Rajiv Gandhi International Stadium, Uppal|5.038499999999999|0.5625|5.600999999999999
150|AA Jhunjhunwala|Sardar Patel Stadium, Motera|6.3382499999999995|0.5625|6.9007499999999995
151|AA Jhunjhunwala|Sawai Mansingh Stadium|4.925999999999999|0.5625|5.488499999999999
152|AA Kazi|Sawai Mansingh Stadium|0.0|1.2|1.2
153|AA Noffke|M Chinnaswamy Stadium|2.25|7.5|9.75
154|AB Agarkar|Buffalo Park|0.0|5.7585|5.7585
155|AB Agarkar|Eden Gardens|2.472|5.2147499999999996|7.68675
156|AB Agarkar|Feroz Shah Kotla|2.82225|4.821|7.64325
157|AB Agarkar|Kingsmead|2.8095|6.37725|9.18675
158|AB Agarkar|M Chinnaswamy Stadium|2.547|6.696|9.243
159|AB Agarkar|MA Chidambaram Stadium, Chepauk|2.847|5.13975|7.986750000000001
160|AB Agarkar|Nehru Stadium|0.0|7.6335|7.6335
161|AB Agarkar|New Wanderers Stadium|5.022|4.821|9.843
162|AB Agarkar|Newlands|2.397|3.8834999999999997|6.2805
163|AB Agarkar|Punjab Cricket Association Stadium, Mohali|2.172|5.7585|7.9305
164|AB Agarkar|Rajiv Gandhi International Stadium, Uppal|0.0|7.6335|7.6335
165|AB Agarkar|Sawai Mansingh Stadium|3.597|4.821|8.418
166|AB Agarkar|St George's Park|0.0|5.7585|5.7585
167|AB Agarkar|SuperSport Park|0.0|4.821|4.821
168|AB Agarkar|Wankhede Stadium|2.922|5.7585|8.6805
169|AB Dinda|Buffalo Park|0.0|7.1827499999999995|7.1827499999999995
170|AB Dinda|Dr DY Patil Sports Academy|0.0|9.057749999999999|9.057749999999999
171|AB Dinda|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|0.0|7.801499999999999|7.801499999999999
172|AB Dinda|Dubai International Cricket Stadium|-0.31349999999999995|7.1827499999999995|6.869249999999999
173|AB Dinda|Eden Gardens|0.0|7.332749999999999|7.332749999999999
174|AB Dinda|Feroz Shah Kotla|-0.46349999999999997|6.7139999999999995|6.2505
175|AB Dinda|Holkar Cricket Stadium|0.0|7.1827499999999995|7.1827499999999995
176|AB Dinda|Kingsmead|0.0|6.563999999999999|6.563999999999999
177|AB Dinda|M Chinnaswamy Stadium|-0.426|7.407749999999999|6.981749999999999
178|AB Dinda|MA Chidambaram Stadium, Chepauk|0.0|6.563999999999999|6.563999999999999
179|AB Dinda|Maharashtra Cricket Association Stadium|0.06150000000000002|7.6514999999999995|7.712999999999999
180|AB Dinda|Newlands|-0.31349999999999995|9.057749999999999|8.74425
181|AB Dinda|Punjab Cricket Association Stadium, Mohali|-0.31349999999999995|6.2452499999999995|5.931749999999999
182|AB Dinda|Rajiv Gandhi International Stadium, Uppal|-0.46349999999999997|9.526499999999999|9.062999999999999
183|AB Dinda|Sardar Patel Stadium, Motera|0.0|9.057749999999999|9.057749999999999
184|AB Dinda|Sawai Mansingh Stadium|-0.38849999999999996|6.2452499999999995|5.85675
185|AB Dinda|Shaheed Veer Narayan Singh International Stadium|0.0|10.932749999999999|10.932749999999999
186|AB Dinda|Sharjah Cricket Stadium|0.0|5.3077499999999995|5.3077499999999995
187|AB Dinda|Sheikh Zayed Stadium|-0.46349999999999997|5.3077499999999995|4.84425
188|AB Dinda|St George's Park|-0.46349999999999997|5.3077499999999995|4.84425
189|AB Dinda|Subrata Roy Sahara Stadium|-0.26325|7.5577499999999995|7.294499999999999
190|AB Dinda|SuperSport Park|0.0|7.1827499999999995|7.1827499999999995
191|AB Dinda|Wankhede Stadium|-0.351|8.439|8.088000000000001
192|AB McDonald|Brabourne Stadium|6.0255|8.0625|14.088000000000001
193|AB McDonald|Feroz Shah Kotla|4.600499999999999|9.0|13.6005
194|AB McDonald|M Chinnaswamy Stadium|4.619249999999999|9.9375|14.55675
195|AB McDonald|MA Chidambaram Stadium, Chepauk|4.150499999999999|6.1875|10.338
196|AB McDonald|New Wanderers Stadium|3.7754999999999996|6.1875|9.963
197|AB McDonald|Punjab Cricket Association Stadium, Mohali|4.150499999999999|9.9375|14.088
198|AC Gilchrist|Himachal Pradesh Cricket Association Stadium|10.780499999999998|8.85|19.630499999999998
199|AC Thomas|Dr DY Patil Sports Academy|0.0|7.165499999999999|7.165499999999999
200|AC Thomas|Feroz Shah Kotla|0.0|8.42175|8.42175
201|AC Thomas|M Chinnaswamy Stadium|0.0|9.35925|9.35925
202|AC Thomas|MA Chidambaram Stadium, Chepauk|1.425|9.35925|10.78425
203|AC Thomas|Sawai Mansingh Stadium|0.0|7.484249999999999|7.484249999999999
204|AC Thomas|Subrata Roy Sahara Stadium|2.0625|6.865499999999999|8.927999999999999
205|AC Thomas|Wankhede Stadium|1.3499999999999999|7.484249999999999|8.834249999999999
206|AC Voges|Eden Gardens|7.19025|0.0|7.19025
207|AC Voges|Feroz Shah Kotla|7.71525|0.0|7.71525
208|AC Voges|Punjab Cricket Association Stadium, Mohali|9.96525|0.0|9.96525
209|AC Voges|Sardar Patel Stadium, Motera|8.72775|0.61875|9.3465
210|AC Voges|Sawai Mansingh Stadium|8.69025|0.0|8.69025
211|AD Mascarenhas|Brabourne Stadium|2.37375|12.905249999999999|15.278999999999998
212|AD Mascarenhas|Eden Gardens|1.6987499999999998|11.030249999999999|12.729
213|AD Mascarenhas|Newlands|2.4734999999999996|11.649|14.122499999999999
214|AD Mascarenhas|Punjab Cricket Association Stadium, Mohali|2.37375|13.842749999999999|16.2165
215|AD Mascarenhas|Rajiv Gandhi International Stadium, Uppal|2.07375|9.155249999999999|11.229
216|AD Mascarenhas|Sardar Patel Stadium, Motera|1.9237499999999998|12.905249999999999|14.828999999999999
217|AD Mascarenhas|Sawai Mansingh Stadium|2.37375|12.905249999999999|15.278999999999998
218|AD Mascarenhas|Subrata Roy Sahara Stadium|2.07375|11.030249999999999|13.104
219|AD Mascarenhas|SuperSport Park|2.2987499999999996|11.030249999999999|13.328999999999999
220|AD Mathews|Brabourne Stadium|5.302499999999999|4.4295|9.732
221|AD Mathews|Dr DY Patil Sports Academy|9.464999999999998|5.367|14.831999999999997
222|AD Mathews|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|5.714999999999999|5.367|11.081999999999999
223|AD Mathews|Eden Gardens|6.21525|5.367|11.58225
224|AD Mathews|Feroz Shah Kotla|5.69325|4.2045|9.89775
225|AD Mathews|JSCA International Stadium Complex|0.0|5.367|5.367
226|AD Mathews|M Chinnaswamy Stadium|4.889999999999999|5.367|10.256999999999998
227|AD Mathews|MA Chidambaram Stadium, Chepauk|7.402499999999999|3.492|10.894499999999999
228|AD Mathews|Maharashtra Cricket Association Stadium|5.039999999999999|5.367|10.407
229|AD Mathews|Punjab Cricket Association Stadium, Mohali|5.714999999999999|5.367|11.081999999999999
230|AD Mathews|Rajiv Gandhi International Stadium, Uppal|6.052499999999999|3.492|9.5445
231|AD Mathews|Sardar Patel Stadium, Motera|0.0|3.492|3.492
232|AD Mathews|Sawai Mansingh Stadium|6.127499999999999|5.367|11.494499999999999
233|AD Mathews|Subrata Roy Sahara Stadium|5.773499999999999|4.74825|10.521749999999999
234|AD Mathews|SuperSport Park|5.789999999999999|3.492|9.282
235|AD Mathews|Wankhede Stadium|5.752499999999999|4.4295|10.181999999999999
236|AD Russell|Brabourne Stadium|12.41625|10.72575|23.142
237|AD Russell|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|11.06625|6.975750000000001|18.042
238|AD Russell|Eden Gardens|39.46675|22.740000000000002|62.20675
239|AD Russell|Feroz Shah Kotla|42.78725|22.8775|65.66475
240|AD Russell|Himachal Pradesh Cricket Association Stadium|0.0|6.975750000000001|6.975750000000001
241|AD Russell|Holkar Cricket Stadium|27.92125|25.026749999999996|52.94799999999999
242|AD Russell|JSCA International Stadium Complex|9.71625|6.975750000000001|16.692
243|AD Russell|M Chinnaswamy Stadium|12.79125|6.975750000000001|19.767
244|AD Russell|M.Chinnaswamy Stadium|26.69625|18.46425|45.1605
245|AD Russell|MA Chidambaram Stadium, Chepauk|44.9625|18.8775|63.84
246|AD Russell|Maharashtra Cricket Association Stadium|12.75375|6.975750000000001|19.7295
247|AD Russell|Punjab Cricket Association IS Bindra Stadium, Mohali|26.69625|21.3775|48.073750000000004
248|AD Russell|Rajiv Gandhi International Stadium, Uppal|33.95|21.065|55.015
249|AD Russell|Sardar Patel Stadium, Motera|9.71625|6.975750000000001|16.692
250|AD Russell|Sharjah Cricket Stadium|25.03375|18.46425|43.498000000000005
251|AD Russell|Sheikh Zayed Stadium|23.861250000000002|15.40175|39.263000000000005
252|AD Russell|Wankhede Stadium|33.825|21.3775|55.2025
253|AF Milne|M Chinnaswamy Stadium|-0.000749999999999984|8.25|8.24925
254|AF Milne|Maharashtra Cricket Association Stadium|0.22425|4.5|4.72425
